ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.CharSetUtils.containsAny(String,String...);4;12;2;7;6;4;1;9;3;6;4;4;5;4;4;4;2;4;org.apache.commons.lang3.CharSetUtilsTest.testContainsAny_StringStringarray();0;30;2;26;6;2;0;28;2;26;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharSetUtilsTest.testContainsAny_StringStringarray();17;1;2.5;11;1;5;0.8333333333333333;
org.apache.commons.lang3.CharSetUtils.count(String,String...);4;13;3;8;6;4;1;10;4;6;4;4;5;1;1;0;2;0;org.apache.commons.lang3.CharSetUtilsTest.testCount_StringStringarray();0;30;2;26;4;2;0;28;2;26;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharSetUtilsTest.testCount_StringStringarray();30.666666666666668;1;7.5;12;1;9;0.8999999999999999;
org.apache.commons.lang3.CharSetUtils.delete(String,String...);4;6;1;3;4;2;0;4;1;3;2;2;3;1;1;0;1;0;org.apache.commons.lang3.CharSetUtilsTest.testDelete_StringStringarray();0;33;2;29;6;2;0;31;2;29;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharSetUtilsTest.testDelete_StringStringarray();8;0;0;5;1;2;1;
org.apache.commons.lang3.CharSetUtils.keep(String,String...);5;9;1;5;4;3;0;6;1;5;3;3;4;3;2;2;1;2;org.apache.commons.lang3.CharSetUtilsTest.testKeep_StringStringarray();0;33;2;29;6;2;0;31;2;29;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharSetUtilsTest.testKeep_StringStringarray();9.333333333333334;0;0;8;1;3;1;
org.apache.commons.lang3.CharSetUtils.squeeze(String,String...);5;32;9;24;9;9;1;27;10;17;7;7;10;7;6;6;4;6;org.apache.commons.lang3.CharSetUtilsTest.testSqueeze_StringStringarray();0;31;2;27;6;2;0;29;2;27;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharSetUtilsTest.testSqueeze_StringStringarray();70.80000000000001;1;5.6;28;0.9032258064516128;14;0.24561403508771928;
org.apache.commons.lang3.CharUtils.toChar(Character,char);3;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.CharUtilsTest.testToChar_Character_char();2;5;1;3;2;1;0;4;1;3;1;1;1;1;0;0;0;0;org.apache.commons.lang3.CharUtilsTest.testToChar_Character_char();4;0;0;5;1;2;1;
org.apache.commons.lang3.CharUtils.toCharacterObject(String);3;6;1;3;4;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.CharUtilsTest.testToCharacterObject_String();0;26;6;20;10;5;1;26;8;18;4;4;4;2;0;0;0;0;org.apache.commons.lang3.CharUtilsTest.testToCharacterObject_String();8;0;0;5;1;2;1;
org.apache.commons.lang3.CharUtils.toIntValue(Character,int);3;6;1;3;3;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.CharUtilsTest.testToIntValue_Character_int();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;org.apache.commons.lang3.CharUtilsTest.testToIntValue_Character_int();4;0;0;5;1;2;1;
org.apache.commons.lang3.CharUtils.toString(char);3;6;1;3;1;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.CharUtilsTest.testToString_char();0;21;5;17;6;4;1;22;7;15;3;3;3;1;0;0;0;0;org.apache.commons.lang3.CharUtilsTest.testToString_char();4;0;0;5;1;2;1;
org.apache.commons.lang3.CharUtils.unicodeEscaped(Character);2;6;1;3;3;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.CharUtilsTest.testToUnicodeEscaped_Character();1;4;1;2;3;1;0;3;1;2;1;1;1;1;0;0;0;0;org.apache.commons.lang3.CharUtilsTest.testToUnicodeEscaped_Character();4;0;0;5;1;2;1;
